time	V(vout)
Step Information: Run=0  (Run: 1/8)
2.143211423819892e+000	2.395662e+000
2.143211690344760e+000	2.057495e+000
2.143212195487710e+000	1.416731e+000
2.143213205773609e+000	2.010658e-001
2.143213422998738e+000	1.546080e-002
2.143213456621549e+000	5.126993e-003
2.143213475818008e+000	4.351782e-003
2.143213505611023e+000	3.614755e-003
2.143213548152058e+000	2.930253e-003
2.143213597059134e+000	2.447404e-003
2.143213667362396e+000	2.038601e-003
2.143213753635497e+000	1.747282e-003
2.143213885469546e+000	1.500191e-003
2.143214055158058e+000	1.327113e-003
2.143214328703817e+000	1.183689e-003
2.143214702312367e+000	1.085303e-003
2.143215342874711e+000	1.007529e-003
2.143216387344381e+000	9.528103e-004
2.143218476283725e+000	9.124722e-004
2.143222654162408e+000	8.868129e-004
2.143231009919777e+000	8.741551e-004
2.143247721434516e+000	8.700410e-004
2.177439480590333e+000	8.693130e-004
2.211664662775625e+000	8.689163e-004
2.251664662775625e+000	8.684876e-004
2.291664662775624e+000	8.680951e-004
2.331664662775623e+000	8.677375e-004
2.371664662775622e+000	8.674168e-004
2.411664662775621e+000	8.671528e-004
2.451664662775620e+000	8.670452e-004
2.491664662775619e+000	8.675215e-004
2.531664662775619e+000	8.702811e-004
2.571664662775618e+000	9.487249e-004
2.611742787775619e+000	1.138754e-003
2.611899037775618e+000	1.132468e-003
2.612211537775618e+000	1.212078e-003
2.612289662775620e+000	1.247245e-003
2.612445912775620e+000	1.351975e-003
2.612484975275621e+000	1.398774e-003
2.612563100275622e+000	1.544345e-003
2.612582631525623e+000	1.605980e-003
2.612621694025624e+000	1.793234e-003
2.612631459650622e+000	1.870439e-003
2.612650990900622e+000	2.100113e-003
2.612655873713123e+000	2.189403e-003
2.612665639338122e+000	2.443743e-003
2.612668080744371e+000	2.535052e-003
2.612672963556872e+000	2.838145e-003
2.612679898754610e+000	3.487014e-003
2.612681133089861e+000	3.694027e-003
2.612683601760363e+000	4.318602e-003
2.612684218927988e+000	4.549608e-003
2.612685453263239e+000	5.223035e-003
